"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6KDCNTC9","journalArticle","2021","Arvanitaki, Alexandra; Januszewska, Katarzyna; Malec, Edward; Baumgartner, Helmut; Kehl, Hans-Gerd; Lammers, Astrid Elisabeth","Against all odds—late repair of multiple shunt lesions in a patient with Down syndrome: a case report","European Heart Journal - Case Reports","","2514-2119","10.1093/ehjcr/ytab234","https://academic.oup.com/ehjcr/article/doi/10.1093/ehjcr/ytab234/6323502","Abstract                            Background               Children with congenital heart defects (CHD) usually undergo elective surgical repair of haemodynamically relevant shunt lesions within the first year of life. Due to susceptibility for pulmonary arterial hypertension (PAH) in patients with Down syndrome, repair is usually aimed for no later than 6 months of life. However, with rising immigration from developing countries to Europe, more patients with unrepaired CHD are diagnosed at a later age. Anatomical repair may be precluded, when advanced pulmonary vascular disease has been established.                                         Case summary               We report a 39-month-old male patient with Down syndrome with a large non-restrictive perimembranous ventricular septal defect, a large patent ductus arteriosus, and a secundum-type atrial septal defect with a prominent left-to-right shunting. Haemodynamic assessment revealed only a mild increase of pulmonary artery pressures (mPAP) with low pulmonary vascular resistance index (PVRi). Vasodilator testing led to a further increase of the left-to-right shunt and decrease of PVRi, suggesting operability. After careful consideration, the patient underwent complete surgical repair with a good post-operative clinical outcome. Cardiac catheterization 6 months after corrective repair showed a normal mPAP. No signs of PAH have been detected in the medium-term follow-up.                                         Discussion               Expertise, increased physician awareness, and a thorough pre-operative multidisciplinary evaluation are paramount to determine the best treatment approach for patients, who may present late with multiple shunts, and—in our case—underlying Down syndrome. Long-term close post-surgical follow-up in an expert centre is warranted to promptly diagnose and treat a possible late presentation of PAH appropriately.","2021-07-01","2025-05-21 21:10:20","2025-05-21 21:10:20","2025-05-21 21:10:20","ytab234","","7","5","","","Against all odds—late repair of multiple shunt lesions in a patient with Down syndrome","","","","","","","en","http://creativecommons.org/licenses/by-nc/4.0/","","","","DOI.org (Crossref)","","","","","","","","Egorova, Anastasia; Voges, Inga; Ahmed, A Shaheer; Mukherjee, Rahul; Mehta, Vishal Shahil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXC66DUX","journalArticle","2023","Zhang, Huijun; Song, Hailong","A 1-month-old infant with pulmonary hypertensive crisis after cardiac surgery was successfully rescued with connection of left atrial and right ventricular pressure measurement tubes: a case report","European Heart Journal - Case Reports","","2514-2119","10.1093/ehjcr/ytad527","https://academic.oup.com/ehjcr/article/doi/10.1093/ehjcr/ytad527/7441582","Abstract                            Background               Pulmonary hypertensive crisis is a complication with extremely high mortality after surgery of congenital heart disease. However, there are still no treatment guidelines or expert consensus on the standard treatment of pulmonary hypertensive crisis, and the effect of conventional treatment is still unsatisfactory. We present a case of a patient who developed pulmonary hypertensive crisis after cardiac surgery, and was successfully rescued with a pioneering method, which has never been reported so far.                                         Case summary               An infant with congenital heart disease had undergone cardiac surgery successfully. Due to obvious myocardial oedema, sternal closure was delayed. The left atrial and right ventricular pressure monitoring tubes, both of which were connected through a triplet, were inserted into right pulmonary vein and pulmonary artery, respectively, and the triplet was in closed condition. On the night of the surgery, pulmonary hypertensive crisis occurred. Emergency bedside thoracotomy was given, and the triplet was turned on urgently to make the left atrial and right ventricular pressure monitoring tubes connected. Meantime, conventional treatment was performed. Eventually, the pulmonary hypertensive crisis was quickly relieved, and the infant was discharged 9 days later.                                         Discussion               The left atrial and right ventricular pressure monitoring tubes are placed intraoperatively in patients who both need delayed sternal closure and have high risk factors for pulmonary hypertensive crisis, by which could not only monitor the pressure of left atrium and right ventricle in real time but also effectively relieve the right ventricular pressure instantaneously when pulmonary hypertensive crisis occurs, as well as remedy ischaemia of systemic and coronary circulation.","2023-11-02","2025-05-21 21:10:23","2025-05-21 21:10:23","2025-05-21 21:10:23","ytad527","","11","7","","","A 1-month-old infant with pulmonary hypertensive crisis after cardiac surgery was successfully rescued with connection of left atrial and right ventricular pressure measurement tubes","","","","","","","en","https://creativecommons.org/licenses/by-nc/4.0/","","","","DOI.org (Crossref)","","","","","","","","Singh, Arvind; Wong, Ivan; Zancanaro, Edoardo; Kadioglu, Hikmet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZM7E7H9K","journalArticle","2013","El Midany, Ashraf A.H.; Mostafa, Ezzeldin A.; Azab, Sherif; Hassan, Ghada A.","Perioperative sildenafil therapy for pulmonary hypertension in infants undergoing congenital cardiac defect closure","Interactive CardioVascular and Thoracic Surgery","","1569-9293, 1569-9285","10.1093/icvts/ivt353","https://academic.oup.com/icvts/article-lookup/doi/10.1093/icvts/ivt353","","2013-12","2025-05-21 21:10:25","2025-05-21 21:10:25","2025-05-21 21:10:25","963-968","","6","17","","Interact CardioVasc Thorac Surg","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/THQ6B3H2/El Midany et al. - 2013 - Perioperative sildenafil therapy for pulmonary hypertension in infants undergoing congenital cardiac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NB7V6GR9","journalArticle","2016","Rosic, Milenko; Susak, Stamenko; Redzek, Aleksandar; Velicki, Lazar","Closure of an atrial septal defect with a one-way flap patch in a patient with severe pulmonary hypertension","Interactive CardioVascular and Thoracic Surgery","","1569-9293, 1569-9285","10.1093/icvts/ivw032","https://academic.oup.com/icvts/article-lookup/doi/10.1093/icvts/ivw032","","2016-06","2025-05-21 21:10:29","2025-05-21 21:10:29","2025-05-21 21:10:29","856-858","","6","22","","Interact CardioVasc Thorac Surg","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/GQ4SIMZQ/Rosic et al. - 2016 - Closure of an atrial septal defect with a one-way flap patch in a patient with severe pulmonary hype.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEDJAR7B","journalArticle","1998","Russell, Isobel A. Muhiudeen; Zwass, Maurice S.; Fineman, Jeffrey R.; Balea, Michel; Rouine-Rapp, Kathryn; Brook, Michael; Hanley, Frank L.; Silverman, Norman H.; Cahalan, Michael K.","The Effects of Inhaled Nitric Oxide on Postoperative Pulmonary Hypertension in Infants and Children Undergoing Surgical Repair of Congenital Heart Disease:","Anesthesia & Analgesia","","0003-2999","10.1097/00000539-199807000-00011","http://journals.lww.com/00000539-199807000-00011","","1998-07","2025-05-21 21:10:31","2025-05-21 21:10:31","2025-05-21 21:10:31","46-51","","1","87","","Anesthesia & Analgesia","The Effects of Inhaled Nitric Oxide on Postoperative Pulmonary Hypertension in Infants and Children Undergoing Surgical Repair of Congenital Heart Disease","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDX3Q67V","journalArticle","2004","Zimmerman, Angela T; Ibsen, Laura M","Advances in postoperative care of pediatric cardiac patients:","Current Opinion in Anaesthesiology","","0952-7907","10.1097/00001503-200406000-00008","http://gateway.ovid.com/ovidweb.cgi?T=JS&amp;PAGE=crossref&amp;AN=00001503-200406000-00008","","2004-06","2025-05-21 21:10:34","2025-05-21 21:10:34","2025-05-21 21:10:34","241-246","","3","17","","Current Opinion in Anaesthesiology","Advances in postoperative care of pediatric cardiac patients","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZMMEBWR","journalArticle","1997","Seghaye, Marie-Christine; Duchateau, Jean; Bruniaux, Jacqueline; Demontoux, Serge; Detruit, Helene; Bosson, Catherine; Lecronier, Gilles; Mokhfi, Emir; Serraf, Alain; Planche, Claude","Endogenous nitric oxide production and atrial natriuretic peptide biological activity in infants undergoing cardiac operations:","Critical Care Medicine","","0090-3493","10.1097/00003246-199706000-00026","http://journals.lww.com/00003246-199706000-00026","","1997-06","2025-05-21 21:10:37","2025-05-21 21:10:37","2025-05-21 21:10:37","1063-1070","","6","25","","Critical Care Medicine","Endogenous nitric oxide production and atrial natriuretic peptide biological activity in infants undergoing cardiac operations","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CKPBGFP","journalArticle","2000","Morris, Kevin; Beghetti, Maurice; Petros, Andy; Adatia, Ian; Bohn, Desmond","Comparison of hyperventilation and inhaled nitric oxide for pulmonary hypertension after repair of congenital heart disease:","Critical Care Medicine","","0090-3493","10.1097/00003246-200008000-00048","http://journals.lww.com/00003246-200008000-00048","","2000-08","2025-05-21 21:10:38","2025-05-21 21:10:38","2025-05-21 21:10:38","2974-2978","","8","28","","Critical Care Medicine","Comparison of hyperventilation and inhaled nitric oxide for pulmonary hypertension after repair of congenital heart disease","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IA87ND9B","journalArticle","2002","Pearl, Jeffrey M.; Nelson, David P.; Raake, Jenni L.; Manning, Peter B.; Schwartz, Steven M.; Koons, Lisa; Shanley, Thomas P.; Wong, Hector R.; Duffy, Jodie Y.","Inhaled nitric oxide increases endothelin-1 levels: A potential cause of rebound pulmonary hypertension:","Critical Care Medicine","","0090-3493","10.1097/00003246-200201000-00014","http://journals.lww.com/00003246-200201000-00014","","2002-01","2025-05-21 21:10:39","2025-05-21 21:10:39","2025-05-21 21:10:39","89-93","","1","30","","Critical Care Medicine","Inhaled nitric oxide increases endothelin-1 levels","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFCA8R96","journalArticle","2004","Kawakami, Hiromasa; Ichinose, Fumito","Inhaled Nitric Oxide in Pediatric Cardiac Surgery:","International Anesthesiology Clinics","","0020-5907","10.1097/00004311-200404240-00010","http://journals.lww.com/00004311-200404240-00010","","2004","2025-05-21 21:10:40","2025-05-21 21:10:40","2025-05-21 21:10:40","93-100","","4","42","","International Anesthesiology Clinics","Inhaled Nitric Oxide in Pediatric Cardiac Surgery","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP4G9KPR","journalArticle","1995","Jonas, Richard A.","Advances in surgical care of infants and children with congenital heart disease:","Current Opinion in Pediatrics","","1040-8703","10.1097/00008480-199510000-00014","http://journals.lww.com/00008480-199510000-00014","","1995-10","2025-05-21 21:10:41","2025-05-21 21:10:41","2025-05-21 21:10:41","572-579","","5","7","","Current Opinion in Pediatrics","Advances in surgical care of infants and children with congenital heart disease","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8N4UQGH","journalArticle","2000","Chang, Anthony C.","Pediatric cardiac intensive care: current state of the art and beyond the millennium:","Current Opinion in Pediatrics","","1040-8703","10.1097/00008480-200006000-00011","http://journals.lww.com/00008480-200006000-00011","","2000-06","2025-05-21 21:10:42","2025-05-21 21:10:42","2025-05-21 21:10:42","238-246","","3","12","","Current Opinion in Pediatrics","Pediatric cardiac intensive care","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E95ME8KH","journalArticle","2003","Ravishankar, Chitra; Tabbutt, Sarah; Wernovsky, Gil","Critical care in cardiovascular medicine:","Current Opinion in Pediatrics","","1040-8703","10.1097/00008480-200310000-00001","http://journals.lww.com/00008480-200310000-00001","","2003-10","2025-05-21 21:10:43","2025-05-21 21:10:43","2025-05-21 21:10:43","443-453","","5","15","","Current Opinion in Pediatrics","Critical care in cardiovascular medicine","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBFFG53B","journalArticle","2006","Wu, Kai-hong; Lü, Xiao-dong; Liu, Ying-long","Recent progress of pediatric cardiac surgery in China:","Chinese Medical Journal","","0366-6999","10.1097/00029330-200612010-00011","http://journals.lww.com/00029330-200612010-00011","","2006-12","2025-05-21 21:10:44","2025-05-21 21:10:44","2025-05-21 21:10:44","2005-2012","","23","119","","Chinese Medical Journal","Recent progress of pediatric cardiac surgery in China","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYP8ZUZA","journalArticle","2007","Ryan, Angela; Tobias, Joseph D","A 5-Year Survey of Nitric Oxide Use in a Pediatric Intensive Care Unit","American Journal of Therapeutics","","1075-2765","10.1097/01.mjt.0000183567.13876.d7","https://journals.lww.com/00045391-200705000-00007","","2007-05","2025-05-21 21:10:48","2025-05-21 21:10:48","2025-05-21 21:10:48","253-258","","3","14","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2R8Q69W","journalArticle","2004","Kageyama, Kyoko; Shime, Nobuaki; Hirose, Munetaka; Hiramatsu, Noriko; Ashida, Hiromi; Hashimoto, Satoru","Factors contributing to successful discontinuation from inhaled nitric oxide therapy in pediatric patients after congenital cardiac surgery:","Pediatric Critical Care Medicine","","1529-7535","10.1097/01.PCC.0000128605.00726.01","http://journals.lww.com/00130478-200407000-00005","","2004-07","2025-05-21 21:10:49","2025-05-21 21:10:49","2025-05-21 21:10:49","351-355","","4","5","","Pediatric Critical Care Medicine","Factors contributing to successful discontinuation from inhaled nitric oxide therapy in pediatric patients after congenital cardiac surgery","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4RBU369","journalArticle","2013","Axelrod, David M.; Klugman, Darren; Wright, Gail E.; Chang, Anthony; Bronicki, Ronald; Roth, Stephen J.","One Hundred Useful References in Pediatric Cardiac Intensive Care: The 2012 Update","Pediatric Critical Care Medicine","","1529-7535","10.1097/01.PCC.0000434621.25332.71","http://journals.lww.com/00130478-201310000-00006","","2013-10","2025-05-21 21:10:51","2025-05-21 21:10:51","2025-05-21 21:10:51","770-785","","8","14","","Pediatric Critical Care Medicine","One Hundred Useful References in Pediatric Cardiac Intensive Care","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFHCNHV9","journalArticle","2011","Bronicki, Ronald A.; Chang, Anthony C.","Management of the postoperative pediatric cardiac surgical patient:","Critical Care Medicine","","0090-3493","10.1097/CCM.0b013e31821b82a6","http://journals.lww.com/00003246-201108000-00016","","2011-08","2025-05-21 21:10:52","2025-05-21 21:10:52","2025-05-21 21:10:52","1974-1984","","8","39","","Critical Care Medicine","Management of the postoperative pediatric cardiac surgical patient","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JL6M52S5","journalArticle","2018","Brown, Georgia; Humpl, Tilman","Approach to pulmonary vascular disease in the ICU","Current Opinion in Pediatrics","","1040-8703, 1531-698X","10.1097/MOP.0000000000000626","https://journals.lww.com/00008480-201806000-00003","Purpose of review               Pulmonary vascular disease (PVD) complicates the course of many cardiovascular, pulmonary and other systemic diseases in children. The physiological sequelae (pulmonary hypertension and elevated pulmonary vascular resistance) can overwhelm the right ventricle and lead to circulatory collapse. Despite the common end-point, the preceding pathophysiology is complex and variable and requires a tailored approach to diagnosis and management. In this article, we will review the most recent evidence and explore an approach to current controversies in the diagnosis and management of common or challenging patient subgroups.                                         Recent findings               New methods of interpreting data derived from echocardiography and cardiac magnetic resonance imaging may assist in risk stratification and response to therapy. In specific patient subgroups, standard pharmacological therapies to reduce right ventricle afterload may be overutilized, ineffective and in some cases harmful. In the patient failing pharmacological therapy, new and novel techniques are being explored including temporary extracorporeal mechanical circulatory support, pumpless lung assist devices and novel surgical and catheterization procedures.                                         Summary               PVD is a diverse entity, and attention to the underlying pathophysiology is essential for appropriate management. Despite significant advances in our understanding, the majority of data comes from small uncontrolled studies and must be interpreted with caution.","2018-06","2025-05-21 21:10:53","2025-05-21 21:10:53","2025-05-21 21:10:53","326-331","","3","30","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQIPTEHG","journalArticle","2016","Oishi, Peter; Fineman, Jeffrey R.","Pulmonary Hypertension","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0000000000000754","https://journals.lww.com/00130478-201608001-00007","Objectives:               To review the clinical classification, diagnosis, and pathophysiology of pulmonary hypertension in children, emphasizing the role of right ventricular function, ventricular interaction, and congenital heart disease in the evolution and progression of disease, as well as management strategies and therapeutic options.                                         Data Source:               MEDLINE, PubMed.                                         Conclusions:               Critically ill children with pulmonary hypertension associated with congenital heart disease are a high-risk population. Congenital cardiac defects resulting in either increased pulmonary blood flow or impaired pulmonary venous drainage predispose patients to developing structural and functional aberrations of the pulmonary vasculature. Mortality from pulmonary hypertension is most directly related to right ventricular failure.","2016-08","2025-05-21 21:10:54","2025-05-21 21:10:54","2025-05-21 21:10:54","S140-S145","","8","17","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/F8ZQR4AL/Oishi and Fineman - 2016 - Pulmonary Hypertension.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWL84NX8","journalArticle","2020","Krispinsky, Luke T.; Stark, Ryan J.; Parra, David A.; Luan, Liming; Bichell, David P.; Pietsch, John B.; Lamb, Fred S.","Endothelial-Dependent Vasomotor Dysfunction in Infants After Cardiopulmonary Bypass","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0000000000002049","https://journals.lww.com/10.1097/PCC.0000000000002049","Objectives:               Cardiopulmonary bypass–induced endothelial dysfunction has been inferred by changes in pulmonary vascular resistance, alterations in circulating biomarkers, and postoperative capillary leak. Endothelial-dependent vasomotor dysfunction of the systemic vasculature has never been quantified in this setting. The objective of the present study was to quantify acute effects of cardiopulmonary bypass on endothelial vasomotor control and attempt to correlate these effects with postoperative cytokines, tissue edema, and clinical outcomes in infants.                                         Design:               Single-center prospective observational cohort pilot study.                                         Setting:               Pediatric cardiac ICU at a tertiary children’s hospital.                                         Patients:               Children less than 1 year old requiring cardiopulmonary bypass for repair of a congenital heart lesion.                                         Intervention:               None.                                         Measurements and Main Results:                                Laser Doppler perfusion monitoring was coupled with local iontophoresis of acetylcholine (endothelium-dependent vasodilator) or sodium nitroprusside (endothelium-independent vasodilator) to quantify endothelial-dependent vasomotor function in the cutaneous microcirculation. Measurements were obtained preoperatively, 2–4 hours, and 24 hours after separation from cardiopulmonary bypass. Fifteen patients completed all laser Doppler perfusion monitor (Perimed, Järfälla, Sweden) measurements. Comparing prebypass with 2–4 hours postbypass responses, there was a decrease in both peak perfusion (                 p                 = 0.0006) and area under the dose-response curve (                 p                 = 0.005) following acetylcholine, but no change in responses to sodium nitroprusside. Twenty-four hours after bypass responsiveness to acetylcholine improved, but typically remained depressed from baseline. Conserved endothelial function was associated with higher urine output during the first 48 postoperative hours (                 R                 2                 = 0.43;                 p                 = 0.008).                                                        Conclusions:               Cutaneous endothelial dysfunction is present in infants immediately following cardiopulmonary bypass and recovers significantly in some patients within 24 hours postoperatively. Confirmation of an association between persistent endothelial-dependent vasomotor dysfunction and decreased urine output could have important clinical implications. Ongoing research will explore the pattern of endothelial-dependent vasomotor dysfunction after cardiopulmonary bypass and its relationship with biochemical markers of inflammation and clinical outcomes.","2020-01","2025-05-21 21:10:57","2025-05-21 21:10:57","2025-05-21 21:10:57","42-49","","1","21","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWGXRUIY","journalArticle","2022","Yates, Andrew R.; Berger, John T.; Reeder, Ron W.; Banks, Russell; Mourani, Peter M.; Berg, Robert A.; Carcillo, Joseph A.; Carpenter, Todd; Hall, Mark W.; Meert, Kathleen L.; McQuillen, Patrick S.; Pollack, Murray M.; Sapru, Anil; Notterman, Daniel A.; Holubkov, Richard; Dean, J. Michael; Wessel, David L.; on behalf of the Eunice Kennedy Shriver National Institute of Child Health and Human Development Collaborative Pediatric Critical Care Research Network","Characterization of Inhaled Nitric Oxide Use for Cardiac Indications in Pediatric Patients*","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0000000000002917","https://journals.lww.com/10.1097/PCC.0000000000002917","OBJECTIVES:               Characterize the use of inhaled nitric oxide (iNO) for pediatric cardiac patients and assess the relationship between patient characteristics before iNO initiation and outcomes following cardiac surgery.                                         DESIGN:               Observational cohort study.                                         SETTING:               PICU and cardiac ICUs in seven Collaborative Pediatric Critical Care Research Network hospitals.                                         PATIENTS:               Consecutive patients, less than 18 years old, mechanically ventilated before or within 24 hours of iNO initiation. iNO was started for a cardiac indication and excluded newborns with congenital diaphragmatic hernia, meconium aspiration syndrome, and persistent pulmonary hypertension, or when iNO started at an outside institution.                                         INTERVENTIONS:               None.                                         MEASUREMENTS AND MAIN RESULTS:                                Four-hundred seven patients with iNO initiation based on cardiac dysfunction. Cardiac dysfunction patients were administered iNO for a median of 4 days (2–7 d). There was significant morbidity with 51 of 407 (13%) requiring extracorporeal membrane oxygenation and 27 of 407 (7%) requiring renal replacement therapy after iNO initiation, and a 28-day mortality of 46 of 407 (11%). Of the 366 (90%) survivors, 64 of 366 patients (17%) had new morbidity as assessed by Functional Status Scale. Among the postoperative cardiac surgical group (                 n                 = 301), 37 of 301 (12%) had a superior cavopulmonary connection and nine of 301 (3%) had a Fontan procedure. Based on echocardiographic variables prior to iNO (                 n                 = 160) in the postoperative surgical group, right ventricle dysfunction was associated with 28-day and hospital mortalities (both,                 p                 < 0.001) and ventilator-free days (                 p                 = 0.003); tricuspid valve regurgitation was only associated with ventilator-free days (                 p                 < 0.001), whereas pulmonary hypertension was not associated with mortality or ventilator-free days.                                                        CONCLUSIONS:               Pediatric patients in whom iNO was initiated for a cardiac indication had a high mortality rate and significant morbidity. Right ventricular dysfunction, but not the presence of pulmonary hypertension on echocardiogram, was associated with ventilator-free days and mortality.","2022-04","2025-05-21 21:11:00","2025-05-21 21:11:00","2025-05-21 21:11:00","245-254","","4","23","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTS445A5","journalArticle","2008","Mastropietro, Christopher W.; Clark, Jeff A.; Delius, Ralph E.; Walters, Henry L.; Sarnaik, Ashok P.","Arginine vasopressin to manage hypoxemic infants after stage I palliation of single ventricle lesions:","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0b013e3181849ce0","http://journals.lww.com/00130478-200809000-00009","","2008-09","2025-05-21 21:11:02","2025-05-21 21:11:02","2025-05-21 21:11:02","506-510","","5","9","","Pediatric Critical Care Medicine","Arginine vasopressin to manage hypoxemic infants after stage I palliation of single ventricle lesions","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BGDUNC7","journalArticle","2010","Barr, Frederick E.; Macrae, Duncan","Inhaled nitric oxide and related therapies:","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0b013e3181c76b42","http://journals.lww.com/00130478-201003001-00008","","2010-03","2025-05-21 21:11:03","2025-05-21 21:11:03","2025-05-21 21:11:03","S30-S36","","","11","","Pediatric Critical Care Medicine","Inhaled nitric oxide and related therapies","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/fgsj/Zotero/storage/SAK6X73I/Barr and Macrae - 2010 - Inhaled nitric oxide and related therapies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GGIENP6","journalArticle","2010","Nieves, Jo Ann; Kohr, Lisa","Nursing considerations in the care of patients with pulmonary hypertension:","Pediatric Critical Care Medicine","","1529-7535","10.1097/PCC.0b013e3181d10cf4","http://journals.lww.com/00130478-201003001-00015","","2010-03","2025-05-21 21:11:06","2025-05-21 21:11:06","2025-05-21 21:11:06","S74-S78","","","11","","Pediatric Critical Care Medicine","Nursing considerations in the care of patients with pulmonary hypertension","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2UIM67I","journalArticle","2019","Riley, Christine M.; Mastropietro, Christopher W.; Sassalos, Peter; Buckley, Jason R.; Costello, John M.; Iliopoulos, Ilias; Jennings, Aimee; Cashen, Katherine; Suguna Narasimhulu, Sukumar; Gowda, Keshava M. N.; Smerling, Arthur J.; Wilhelm, Michael; Badheka, Aditya; Bakar, Adnan; Moser, Elizabeth A. S.; Amula, Venu","Utilization of inhaled nitric oxide after surgical repair of truncus arteriosus: A multicenter analysis","Congenital Heart Disease","","1747-079X, 1747-0803","10.1111/chd.12849","https://www.techscience.com/chd/v14n6/38917","","2019-11","2025-05-21 21:11:08","2025-05-21 21:11:08","2025-05-21 21:11:08","1078-1086","","6","14","","Congenital Heart Disease","Utilization of inhaled nitric oxide after surgical repair of truncus arteriosus","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
